Ontario — Mortgages  ,,,
2016,,,
,With a Mortgage,Without a Mortgage,Total Private Households With Mortgage Status Known
Barrie,"39,145","15,830","54,970"
Bracebridge T,"2,960","2,360","5,320"
Brantford,"23,745","13,735","37,480"
Brighton MU,"2,160","1,855","4,015"
Brock TP,"2,305","1,230","3,535"
Brockville,"6,310","5,330","11,640"
Centre Wellington,"5,070","3,480","8,545"
Chatham-Kent,"16,305","13,505","29,805"
Cobourg,"3,085","2,975","6,060"
Collingwood,"3,635","3,410","7,045"
Cornwall,"9,020","6,895","15,915"
Elliot Lake,"1,705","1,730","3,435"
Erin T,"2,185","1,350","3,540"
Essex T,"3,930","2,730","6,660"
Gravenhurst T,"1,995","1,870","3,865"
Greater Napanee T,"2,710","2,010","4,720"
Greater Sudbury / Grand Sudbury,"27,060","19,375","46,435"
Guelph,"25,970","15,390","41,360"
Haldimand County CY,"8,745","5,195","13,945"
Hamilton,"124,800","80,980","205,785"
Hawkesbury,"1,625","1,350","2,975"
Huntsville T,"3,760","2,810","6,565"
Ingersoll,"2,500","1,325","3,825"
Kawartha Lakes,"13,865","10,945","24,810"
Kenora,"2,855","1,970","4,825"
Kincardine MU,"1,915","1,780","3,695"
Kingston,"25,930","18,200","44,130"
Kitchener - Cambridge - Waterloo,"86,645","48,920","135,565"
Lambton Shores MU,"1,880","1,950","3,830"
Leamington,"7,595","5,660","13,255"
London,"80,725","50,130","130,855"
Meaford MU,"1,765","1,840","3,605"
Midland,"6,545","4,490","11,030"
Norfolk,"10,745","9,250","19,995"
North Bay,"12,430","7,925","20,360"
North Perth MU,"1,960","1,370","3,330"
Orillia,"4,945","3,420","8,365"
Oshawa,"74,115","33,655","107,775"
Ottawa,"148,275","96,400","244,675"
Owen Sound,"5,035","4,195","9,235"
Pembroke,"3,965","2,870","6,835"
Petawawa,"2,990","1,115","4,100"
Peterborough,"20,070","15,160","35,240"
Port Hope,"3,170","2,260","5,435"
Prince Edward County CY,"4,210","4,395","8,605"
Sarnia,"15,885","13,835","29,720"
Saugeen Shores T,"2,350","2,375","4,730"
Sault Ste. Marie,"12,995","11,050","24,045"
Scugog TP,"3,840","3,040","6,880"
St. Catharines - Niagara,"69,350","52,485","121,830"
Stratford,"5,245","3,985","9,225"
The Nation / La Nation M,"2,560","1,220","3,780"
Thunder Bay,"19,865","17,825","37,690"
Tillsonburg,"2,625","2,345","4,965"
Timmins,"7,665","4,395","12,055"
Toronto,"896,520","522,270","1,418,790"
Trent Hills MU,"2,320","1,895","4,215"
West Grey MU,"2,025","1,835","3,865"
West Nipissing / Nipissing Ouest M,"2,505","1,755","4,260"
Windsor,"56,390","38,360","94,750"
Woodstock,"7,425","4,045","11,465"
Ontario,"2,172,280","1,393,745","3,566,025"
,,,
Notes,,,
Mortgage data exclude farm operators.,,,
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)",,
