"Canada Mortgage and Housing Corporation, conventional mortgage lending rate, 5-year term 1 2",
Monthly,
Table: 34-10-0145-01 (formerly CANSIM 027-0015),
Release date: 2021-06-16,
Geography: Canada,
,
Reference period,Canada
,Percent
Jan-08,6.81
Feb-08,6.72
Mar-08,6.6
Apr-08,6.4
May-08,6.21
Jun-08,6.2
Jul-08,6.37
Aug-08,6.25
Sep-08,6.16
Oct-08,6.46
Nov-08,6.51
Dec-08,6.17
Jan-09,5.78
Feb-09,5.28
Mar-09,5.14
Apr-09,4.79
May-09,4.62
Jun-09,4.9
Jul-09,5.14
Aug-09,5.13
Sep-09,4.97
Oct-09,5
Nov-09,5.06
Dec-09,4.83
Jan-10,4.8
Feb-10,4.73
Mar-10,4.71
Apr-10,5.15
May-10,5.3
Jun-10,5.18
Jul-10,5.02
Aug-10,4.82
Sep-10,4.6
Oct-10,4.52
Nov-10,4.45
Dec-10,4.5
Jan-11,4.55
Feb-11,4.68
Mar-11,4.7
Apr-11,4.87
May-11,4.83
Jun-11,4.6
Jul-11,4.57
Aug-11,4.52
Sep-11,4.42
Oct-11,4.35
Nov-11,4.38
Dec-11,4.36
Jan-12,4.31
Feb-12,4.23
Mar-12,4.21
Apr-12,4.36
May-12,4.35
Jun-12,4.25
Jul-12,4.23
Aug-12,4.23
Sep-12,4.2
Oct-12,4.17
Nov-12,4.15
Dec-12,4.15
Jan-13,4.14
Feb-13,4.11
Mar-13,4.02
Apr-13,4.02
May-13,4.02
Jun-13,4
Jul-13,4.08
Aug-13,4.14
Sep-13,4.33
Oct-13,4.4
Nov-13,4.39
Dec-13,4.39
Jan-14,4.38
Feb-14,4.32
Mar-14,4.16
Apr-14,4.02
May-14,4.02
Jun-14,4
Jul-14,4.01
Aug-14,4.01
Sep-14,4.02
Oct-14,4
Nov-14,4
Dec-14,3.98
Jan-15,3.96
Feb-15,3.91
Mar-15,3.84
Apr-15,3.76
May-15,3.74
Jun-15,3.72
Jul-15,3.71
Aug-15,3.71
Sep-15,3.71
Oct-15,3.72
Nov-15,3.72
Dec-15,3.75
Jan-16,3.76
Feb-16,3.75
Mar-16,3.73
Apr-16,3.7
May-16,3.67
Jun-16,3.66
Jul-16,3.67
Aug-16,3.68
Sep-16,3.67
Oct-16,3.68
Nov-16,3.7
Dec-16,3.74
Jan-17,3.73
Feb-17,3.75
Mar-17,3.66
Apr-17,3.62
May-17,3.59
Jun-17,3.6
Jul-17,3.72
Aug-17,3.82
Sep-17,3.89
Oct-17,3.98
Nov-17,4.04
Dec-17,4.07
Jan-18,4.14
Feb-18,4.26
Mar-18,4.27
Apr-18,4.27
May-18,4.35
Jun-18,4.32
Jul-18,4.42
Aug-18,4.43
Sep-18,4.43
Oct-18,4.48
Nov-18,4.38
Dec-18,4.59
Jan-19,4.59
Feb-19,4.52
Mar-19,4.44
Apr-19,4.33
May-19,4.3
Jun-19,4.23
Jul-19,4.14
Aug-19,4.08
Sep-19,4.07
Oct-19,4.09
Nov-19,4.09
Dec-19,4.08
Jan-20,4.08
Feb-20,4.08
Mar-20,3.9
Apr-20,3.95
May-20,3.86
Jun-20,3.77
Jul-20,3.64
Aug-20,3.57
Sep-20,3.51
Oct-20,3.45
Nov-20,3.42
Dec-20,3.34
Jan-21,3.3
Feb-21,3.25
Mar-21,3.26
Apr-21,3.25
May-21,3.25
,
Symbol legend:,
,
Footnotes:,
1,"Geographical areas modified every 5 years to reflect most recent census definitions, therefore, data are not strictly comparable historically."
2,"These data are obtained from Canada Mortgage and Housing Corporation (CMHC) and are provided subject to  CMHC Licence Agreement for the Use of Data (opens new window).
"
,
"How to cite: Statistics Canada. Table 34-10-0145-01 Canada Mortgage and Housing Corporation, conventional mortgage lending rate, 5-year term",
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3410014501,
DOI: https://doi.org/10.25318/3410014501-eng,
