id,host_response_rate,host_acceptance_rate,host_picture_url,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,extra_people,number_of_reviews,last_review,review_scores_rating,cancellation_policy
10253591,92%,94%,https://a2.muscache.com/im/pictures/abb218bd-f589-4028-b3aa-8702d039969d.jpg?aki_policy=profile_x_medium,42.31838302,-71.1018781,House,Private room,2,1,1,1,Real Bed,"{""Wireless Internet"",""Air Conditioning"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$105.00,$200.00,$7.00,$10.00,21,2016-08-17,91,strict
13081347,100%,100%,https://a2.muscache.com/im/pictures/79dd6171-cd92-4548-af82-7ae72dbb7f14.jpg?aki_policy=profile_x_medium,42.33160987,-71.11137609,Apartment,Private room,1,1,1,1,Real Bed,"{""Wireless Internet"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$56.00,,,$0.00,3,2016-07-07,87,flexible
2706986,100%,30%,https://a2.muscache.com/im/users/501255/profile_pic/1396538608/original.jpg?aki_policy=profile_x_medium,42.3501538,-71.06793079,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$125.00,,$25.00,$100.00,16,2016-08-10,90,moderate
225224,100%,96%,https://a2.muscache.com/im/pictures/2361f1f3-f967-42ad-9b87-27479d8ca6e8.jpg?aki_policy=profile_x_medium,42.34642847,-71.0750299,House,Private room,1,,1,1,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Heating,""Smoke Detector""}",$98.00,,$10.00,$0.00,184,2016-08-24,91,moderate
5593888,100%,92%,https://a2.muscache.com/im/users/21009959/profile_pic/1429381237/original.jpg?aki_policy=profile_x_medium,42.33937306,-71.07480099,Apartment,Private room,2,1,1,1,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo}",$89.00,,$25.00,$100.00,60,2016-08-22,86,strict
1178162,100%,97%,https://a0.muscache.com/im/users/1407005/profile_pic/1382923477/original.jpg?aki_policy=profile_x_medium,42.37779634,-71.03466633,House,Private room,2,1,1,1,Futon,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,Heating,Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in""}",$95.00,$100.00,,$0.00,215,2016-08-20,86,strict
6554785,100%,100%,https://a1.muscache.com/im/users/28123912/profile_pic/1434021681/original.jpg?aki_policy=profile_x_medium,42.35901849,-71.06304088,Apartment,Entire home/apt,2,1,0,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$160.00,$500.00,$110.00,$0.00,85,2016-08-28,96,strict
8670336,99%,81%,https://a2.muscache.com/im/pictures/b54817f1-c0bd-49db-9a10-306e9450f146.jpg?aki_policy=profile_x_medium,42.35110882,-71.08965359,Apartment,Entire home/apt,7,1,2,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}",$115.00,,$45.00,$50.00,38,2016-08-22,88,strict
8780440,100%,100%,https://a1.muscache.com/im/users/46024636/profile_pic/1444262370/original.jpg?aki_policy=profile_x_medium,42.34228685,-71.15515688,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$110.00,$300.00,$100.00,$0.00,10,2016-08-26,84,strict
7462268,100%,100%,https://a2.muscache.com/im/users/19548932/profile_pic/1437488372/original.jpg?aki_policy=profile_x_medium,42.35819787,-71.12901562,House,Private room,2,2,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Gym,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$75.00,$100.00,$35.00,$0.00,32,2016-08-31,97,flexible
